"first","second"
"156.978 , 28.9935 , 83.997","170.9775 , 201.9855 , 1.989"
"156.978 , 28.9935 , 83.997","132.9825 , 147.9765 , 42.993"
"156.978 , 28.9935 , 83.997","117.9885 , 142.9785 , 0.9945"
"156.978 , 28.9935 , 83.997","68.9775 , 85.986 , 7.9815"
"156.978 , 28.9935 , 83.997","251.991 , 236.997 , 119.9775"
"156.978 , 28.9935 , 83.997","252.9855 , 221.9775 , 42.993"
"156.978 , 28.9935 , 83.997","211.9815 , 190.995 , 81.9825"
"156.978 , 28.9935 , 83.997","244.9785 , 208.998 , 0.9945"
"156.978 , 28.9935 , 83.997","175.9755 , 151.98 , 45.9765"
"156.978 , 28.9935 , 83.997","170.9775 , 143.9985 , 2.9835"
"156.978 , 28.9935 , 83.997","104.9835 , 90.984 , 20.9865"
"156.978 , 28.9935 , 83.997","250.9965 , 200.991 , 141.984"
"156.978 , 28.9935 , 83.997","251.991 , 166.9995 , 40.9785"
"156.978 , 28.9935 , 83.997","228.99 , 154.989 , 91.9785"
"156.978 , 28.9935 , 83.997","255 , 143.9985 , 0"
"156.978 , 28.9935 , 83.997","174.981 , 120.9975 , 60.996"
"156.978 , 28.9935 , 83.997","172.992 , 100.98 , 1.989"
"156.978 , 28.9935 , 83.997","118.983 , 69.9975 , 11.985"
"156.978 , 28.9935 , 83.997","250.9965 , 175.9755 , 153"
"156.978 , 28.9935 , 83.997","251.991 , 112.9905 , 46.9965"
"156.978 , 28.9935 , 83.997","230.979 , 126.99 , 114.9795"
"156.978 , 28.9935 , 83.997","232.9935 , 52.989 , 6.987"
"156.978 , 28.9935 , 83.997","162.996 , 87.975 , 57.987"
"156.978 , 28.9935 , 83.997","165.9795 , 26.979 , 1.989"
"156.978 , 28.9935 , 83.997","120.9975 , 41.9985 , 24.99"
"156.978 , 28.9935 , 83.997","246.993 , 153.9945 , 161.976"
"156.978 , 28.9935 , 83.997","226.9755 , 97.9965 , 100.98"
"156.978 , 28.9935 , 83.997","210.987 , 121.992 , 125.9955"
"156.978 , 28.9935 , 83.997","218.994 , 11.985 , 39.984"
"156.978 , 28.9935 , 83.997","150.9855 , 72.981 , 75.99"
"156.978 , 28.9935 , 83.997","155.9835 , 8.976 , 26.979"
"156.978 , 28.9935 , 83.997","89.9895 , 29.988 , 31.977"
"156.978 , 28.9935 , 83.997","1.989 , 3.978 , 0.9945"
"156.978 , 28.9935 , 83.997","41.9985 , 48.9855 , 40.9785"
"156.978 , 28.9935 , 83.997","89.9895 , 95.982 , 81.9825"
"156.978 , 28.9935 , 83.997","93.993 , 99.9855 , 85.986"
"156.978 , 28.9935 , 83.997","126.99 , 130.9935 , 116.994"
"156.978 , 28.9935 , 83.997","157.998 , 161.976 , 147.9765"
"156.978 , 28.9935 , 83.997","180.999 , 186.9915 , 172.992"
"156.978 , 28.9935 , 83.997","216.9795 , 218.994 , 205.989"
"156.978 , 28.9935 , 83.997","246.993 , 247.9875 , 241.995"
"124.9755 , 61.9905 , 78.999","124.9755 , 61.9905 , 78.999"
"124.9755 , 61.9905 , 78.999","125.9955 , 11.985 , 69.9975"
"124.9755 , 61.9905 , 78.999","82.977 , 37.995 , 60.996"
"124.9755 , 61.9905 , 78.999","178.9845 , 138.975 , 183.9825"
"124.9755 , 61.9905 , 78.999","143.9985 , 90.984 , 168.9885"
"124.9755 , 61.9905 , 78.999","139.995 , 95.982 , 146.982"
"124.9755 , 61.9905 , 78.999","100.98 , 43.9875 , 124.9755"
"124.9755 , 61.9905 , 78.999","93.993 , 66.9885 , 99.9855"
"124.9755 , 61.9905 , 78.999","67.983 , 15.9885 , 89.9895"
"124.9755 , 61.9905 , 78.999","51.9945 , 31.977 , 59.976"
"124.9755 , 61.9905 , 78.999","151.98 , 150.9855 , 192.984"
"124.9755 , 61.9905 , 78.999","113.985 , 113.985 , 201.9855"
"124.9755 , 61.9905 , 78.999","113.985 , 107.9925 , 146.982"
"124.9755 , 61.9905 , 78.999","57.987 , 49.98 , 158.9925"
